Submission ID,Authors,Title,Decision,Archival
47,Filippos Ventirozos; Peter A. Appleby; Matthew Shardlow,Are You Sure You’re Positive? Consolidating Chain-of-Thought Agents with Uncertainty Quantification for Aspect-Category Sentiment Analysis,Poster,Yes
32,Ashish Pandian; Nelson Lojo; Wei Xun Lai; Jackson Lukas,Snap Out of It: A Dual-Process Approach to Mitigating Overthinking in Language Model Reasoning,Poster,Yes
15,Jesse Roberts; Kyle Moore; Douglas Fisher,Do Large Language Models Learn Human-Like Strategic Preferences?,Spotlight,Yes
29,Gregory Polyakov; Ilseyar Alimova; Dmitry Abulkhanov; Ivan Sedykh; Andrey Bout; Sergey Nikolenko; Irina Piontkovskaya,ToolReflection: Improving Large Language Models for Real-World API Calls with Self-Generated Data,Poster,Yes
35,Qingqing Gu; Dan Wang; Yue Zhao; Xiaoyu Wang; Zhonglin Jiang; Yong Chen; Luo Ji,Chain-of-Conceptual-Thought Elicits Daily Conversation in Large Language Models,Poster,No
21,Saab Mansour; Leonardo Perelli; Lorenzo Mainetti; George Davidson; Stefano D'Amato,PAARS: Persona Aligned Agentic Retail Shoppers,Poster,Yes
18,Garry A. Gabison; R. Patrick Xian,Inherent and emergent liability issues in LLM-based agentic systems: a principal-agent perspective,Poster,Yes
33,Sai Surya Gadiraju; Duoduo Liao; Zijie He,A Conversational Agent Framework for Multimodal Knowledge Retrieval: A Case Study in FHWA InfoHighway Web Portal Queries,Poster,Yes
34,Karthikeyan K; Michelle Yuan; Elman Mansimov; Katerina Margatina; Anurag Pratik; Daniele Bonadiman; MONICA SUNKARA; Yi Zhang; Yassine Benajiba,A Study on Leveraging Search and Self-Feedback for Agent Reasoning,Spotlight,Yes
52,Liangliang Chen; Yongzhen Mu,Bridging the Digital Divide: Empowering Elderly Smartphone Users with Intelligent and Human-Centered Design in Agemate,Poster,Yes
27,Yixiao Song; Katherine Thai; Chau Minh Pham; Yapei Chang; Mazin Nadaf; Mohit Iyyer,BEARCUBS: A benchmark for computer-using web agents,Spotlight,No
26,Devansh Srivastav; Xiao Zhang,"Safe in Isolation, Dangerous Together: Agent-Driven Multi-Turn Decomposition Jailbreaks on LLMs",Oral,Yes
67,Micah Rentschler; Jesse Roberts,RL + Transformer = A General-Purpose Problem Solver,Poster,Yes
39,Tobias Lindenbauer; Egor Bogomolov; Yaroslav Zharov,GitGoodBench: A Novel Benchmark For Evaluating Agentic Performance On Git,Spotlight,Yes
13,Bin Li; Jannis Conen; Felix Aller,AID-Agent: An LLM-Agent for Advanced Extraction and Integration of Documents,Poster,Yes
6,Yicheng Fu; Raviteja Anantha; Jianpeng Cheng,CAMPHOR: Collaborative Agents for Multi-input Planning and High-Order Reasoning On Device,Oral,Yes
22,Kemal Kirtac; Guido Germano,Leveraging LLM-based sentiment analysis for portfolio optimization with proximal policy optimization,Poster,Yes
